B01003_001E,B02001_002E,B02001_003E,B03003_003E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25003_001E,B25003_003E,B19013_001E,B25064_001E,B05002_013E,B25002_001E,B25002_003E,B25003_002E,B08301_001E,B08301_019E,NAME,state,county,tract,block group,ca_id,ca_name,geoid_bg,share_white,share_black,share_hispanic,ba_plus_total,share_ba_plus,renter_share,med_income,med_rent,foreign_born_share,vacancy_rate,homeownership_rate,walk_to_work_share
889,863,0,5,614,261,153,77,15,325,13,250001.0,,,325,0,312,373,0,Block Group 1; Census Tract 8001; Cook County; Illinois,17,031,800100,1,15,Portage Park,170318001001,0.9707536557930259,0.0,0.00562429696287964,506,0.8241042345276873,0.04,250001.0,,,0.0,0.96,0.0
1478,1325,51,27,938,367,297,174,19,500,0,250001.0,,,548,48,500,535,0,Block Group 2; Census Tract 8001; Cook County; Illinois,17,031,800100,2,15,Portage Park,170318001002,0.8964817320703654,0.03450608930987822,0.018267929634641408,857,0.9136460554371002,0.0,250001.0,,,0.08759124087591241,1.0,0.0
1736,1612,36,0,1118,486,309,135,32,547,11,212574.0,,,547,0,536,571,0,Block Group 1; Census Tract 8002; Cook County; Illinois,17,031,800200,1,15,Portage Park,170318002001,0.9285714285714286,0.020737327188940093,0.0,962,0.8604651162790697,0.02010968921389397,212574.0,,,0.0,0.979890310786106,0.0
999,947,13,11,627,205,178,167,0,392,91,250001.0,1361.0,,392,0,301,450,11,Block Group 2; Census Tract 8002; Cook County; Illinois,17,031,800200,2,15,Portage Park,170318002002,0.9479479479479479,0.013013013013013013,0.011011011011011011,550,0.8771929824561403,0.23214285714285715,250001.0,1361.0,,0.0,0.7678571428571429,0.024444444444444446
916,894,22,63,550,112,93,132,0,276,0,,,,332,56,276,334,10,Block Group 3; Census Tract 8002; Cook County; Illinois,17,031,800200,3,15,Portage Park,170318002003,0.9759825327510917,0.024017467248908297,0.06877729257641921,337,0.6127272727272727,0.0,,,,0.1686746987951807,1.0,0.029940119760479042
843,816,0,0,583,190,203,117,48,338,28,171184.0,,,431,93,310,400,45,Block Group 4; Census Tract 8002; Cook County; Illinois,17,031,800200,4,15,Portage Park,170318002004,0.9679715302491103,0.0,0.0,558,0.9571183533447685,0.08284023668639054,171184.0,,,0.21577726218097448,0.9171597633136095,0.1125
857,788,0,0,544,284,69,127,11,304,15,145611.0,,,345,41,289,333,0,Block Group 5; Census Tract 8002; Cook County; Illinois,17,031,800200,5,15,Portage Park,170318002005,0.9194865810968494,0.0,0.0,491,0.9025735294117647,0.049342105263157895,145611.0,,,0.11884057971014493,0.9506578947368421,0.0
1069,1004,65,83,743,246,358,51,26,390,54,250001.0,3501.0,,390,0,336,305,20,Block Group 6; Census Tract 8002; Cook County; Illinois,17,031,800200,6,15,Portage Park,170318002006,0.9391955098222639,0.0608044901777362,0.07764265668849392,681,0.9165545087483177,0.13846153846153847,250001.0,3501.0,,0.0,0.8615384615384616,0.06557377049180328
1267,1176,0,52,693,270,243,51,70,394,51,250001.0,1386.0,,448,54,343,460,11,Block Group 1; Census Tract 8003; Cook County; Illinois,17,031,800300,1,15,Portage Park,170318003001,0.9281767955801105,0.0,0.04104183109707971,634,0.9148629148629148,0.12944162436548223,250001.0,1386.0,,0.12053571428571429,0.8705583756345178,0.02391304347826087
495,485,0,0,374,149,96,52,37,197,0,203346.0,,,222,25,197,99,0,Block Group 2; Census Tract 8003; Cook County; Illinois,17,031,800300,2,15,Portage Park,170318003002,0.9797979797979798,0.0,0.0,334,0.893048128342246,0.0,203346.0,,,0.11261261261261261,1.0,0.0
1541,1322,0,18,1023,381,386,142,18,536,0,250001.0,,,662,126,536,617,35,Block Group 3; Census Tract 8003; Cook County; Illinois,17,031,800300,3,15,Portage Park,170318003003,0.8578844905905256,0.0,0.011680726800778715,927,0.906158357771261,0.0,250001.0,,,0.1903323262839879,1.0,0.05672609400324149
1129,1033,0,0,859,336,328,145,8,437,29,250001.0,,,504,67,408,452,0,Block Group 1; Census Tract 8004; Cook County; Illinois,17,031,800400,1,15,Portage Park,170318004001,0.9149689991142604,0.0,0.0,817,0.9511059371362048,0.06636155606407322,250001.0,,,0.13293650793650794,0.9336384439359268,0.0
